com_score,Percentage of negative
-2,0.9365924491771539
-1,0.9364242087729039
0,0.944548561349355
1,0.9692310323595813
2,0.965451197053407
3,0.9661302503921455
4,0.9665192672141504
5,0.9653040625788544
6,0.967068409438126
7,0.9704105021879558
8,0.9655625657202944
9,0.9696124031007752
10,0.9672069355446664
11,0.9697380307136405
12,0.9691199176531138
13,0.970879440885265
14,0.9651707970529136
15,0.9592795614722005
16,0.9628318584070796
17,0.9700654817586529
18,0.972707423580786
19,0.9710789766407119
20,0.9560853199498118
21,0.9629080118694362
22,0.9798449612403101
23,0.9667774086378738
24,0.9605263157894737
25,0.980276134122288
26,0.9804772234273319
27,0.9646799116997793
28,0.9573333333333334
29,0.9751243781094527
30,0.9711815561959655
31,0.9703947368421053
32,0.9738805970149254
33,0.9844961240310077
34,0.9683794466403162
35,0.9683098591549296
36,0.9872881355932204
37,0.968
38,0.9475982532751092
39,0.968421052631579
40,0.95
41,0.9375
42,0.9700598802395209
43,0.9720670391061452
44,0.963855421686747
45,0.9316239316239316
46,0.96875
47,0.9492753623188406
48,0.9530201342281879
49,0.9802631578947368
50,0.9834710743801653
51,0.9752066115702479
52,0.975
53,0.9464285714285714
54,0.9813084112149533
55,0.963302752293578
56,0.9550561797752809
57,0.9375
58,0.95
59,0.978494623655914
60,0.9761904761904762
61,0.9625
62,0.978494623655914
63,0.9571428571428572
64,0.9705882352941176
65,0.9710144927536232
66,0.9523809523809523
67,0.9402985074626866
68,0.984375
69,0.9454545454545454
70,0.9859154929577465
71,0.971830985915493
72,0.9508196721311475
73,0.9814814814814815
74,1.0
75,0.9310344827586207
76,0.9672131147540983
77,0.9565217391304348
78,0.9534883720930233
79,0.9444444444444444
80,0.9545454545454546
81,1.0
82,0.9473684210526315
83,1.0
84,0.9830508474576272
85,0.98
86,0.95
87,0.9824561403508771
88,0.9777777777777777
89,1.0
90,1.0
91,1.0
92,0.9722222222222222
93,0.9285714285714286
94,1.0
95,0.9714285714285714
96,0.9302325581395349
97,1.0
98,0.9512195121951219
99,0.9565217391304348
100,0.9393939393939394
101,0.9
102,0.9714285714285714
103,1.0
104,0.9629629629629629
105,1.0
106,1.0
107,0.9615384615384616
108,0.8846153846153846
109,0.975
110,0.9583333333333334
111,0.896551724137931
