sub_score,Percentage of negative
98,0.9857142857142858
99,0.9833333333333333
100,0.9726027397260274
101,0.9761904761904762
102,0.9882352941176471
103,0.9506172839506173
104,0.958904109589041
105,0.9861111111111112
106,1.0
107,0.9264705882352942
108,0.971830985915493
109,0.967741935483871
110,0.9402985074626866
111,0.9836065573770492
112,0.9863013698630136
113,0.9047619047619048
114,0.925
115,0.9523809523809523
116,0.9866666666666667
117,0.9767441860465116
118,0.9354838709677419
119,0.9411764705882353
120,0.9787234042553191
121,0.9629629629629629
122,0.9821428571428571
123,0.9636363636363636
124,1.0
125,1.0
126,0.9836065573770492
127,0.9615384615384616
128,0.9324324324324325
129,0.9607843137254902
130,1.0
131,0.9682539682539683
132,1.0
133,0.9861111111111112
134,0.9583333333333334
135,0.9701492537313433
136,0.9811320754716981
137,0.9861111111111112
138,0.9767441860465116
139,0.9791666666666666
140,0.9830508474576272
141,0.975609756097561
142,0.9807692307692307
143,1.0
144,0.975
145,1.0
146,1.0
147,0.9347826086956522
148,0.88
149,0.9772727272727273
150,0.9534883720930233
151,0.9622641509433962
152,0.9821428571428571
153,0.9830508474576272
154,0.9777777777777777
155,0.9428571428571428
156,0.984375
157,1.0
158,0.9642857142857143
159,0.9772727272727273
160,1.0
161,0.94
162,0.9615384615384616
163,0.9736842105263158
164,0.9411764705882353
165,0.98
166,0.9807692307692307
167,0.9574468085106383
168,0.9661016949152542
169,0.9615384615384616
170,1.0
171,1.0
172,1.0
173,1.0
174,0.9565217391304348
175,0.9565217391304348
176,0.9534883720930233
177,1.0
178,0.9487179487179487
179,1.0
180,0.9714285714285714
181,0.975
182,1.0
183,0.9523809523809523
184,0.9565217391304348
185,0.9803921568627451
186,0.9210526315789473
187,1.0
188,1.0
189,0.9545454545454546
190,0.9245283018867925
191,1.0
192,0.9302325581395349
193,0.9230769230769231
194,0.96
195,0.9375
196,0.975609756097561
197,1.0
198,1.0
199,1.0
200,0.96
201,0.9473684210526315
202,0.9545454545454546
203,0.9230769230769231
204,0.9591836734693877
205,1.0
206,0.9696969696969697
207,1.0
208,0.9230769230769231
209,1.0
210,1.0
211,0.9743589743589743
212,0.9142857142857143
213,0.9696969696969697
214,1.0
215,0.9821428571428571
216,0.9375
217,1.0
218,0.9767441860465116
219,1.0
220,0.9574468085106383
221,0.9375
222,0.96875
223,0.8918918918918919
224,0.9705882352941176
225,0.9795918367346939
226,0.9705882352941176
227,0.95
228,0.90625
229,0.9545454545454546
230,0.9705882352941176
231,0.9696969696969697
232,0.8888888888888888
233,1.0
234,1.0
235,0.9791666666666666
236,0.9714285714285714
237,0.9714285714285714
238,0.9574468085106383
239,0.9814814814814815
240,0.975
241,1.0
242,0.9615384615384616
243,0.96875
244,0.9574468085106383
245,1.0
246,1.0
