com_score,Percentage of positive
381,0.0
382,0.3333333333333333
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,1.0
390,0.0
391,0.0
392,0.0
394,0.0
395,0.3333333333333333
396,0.25
397,0.4
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
406,0.5
408,0.5
409,0.0
410,0.0
411,0.0
412,0.25
413,0.0
415,0.5
416,0.0
417,0.5
418,0.0
420,0.0
421,0.0
422,1.0
423,0.0
424,0.0
425,0.0
426,0.5
427,0.0
428,0.5
429,0.0
430,0.0
433,0.0
434,0.6666666666666666
435,0.5
437,0.5
438,0.0
439,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.5
447,0.25
448,0.0
449,0.25
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,1.0
458,0.0
459,0.3333333333333333
460,0.0
461,0.0
462,0.0
463,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.25
470,0.0
471,0.0
472,0.0
473,0.0
475,0.25
476,0.0
477,0.0
478,0.25
479,0.0
480,0.0
482,0.0
483,0.0
484,1.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.5
490,0.0
491,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
500,0.0
501,0.3333333333333333
502,0.0
503,0.25
505,0.0
506,0.0
507,0.0
508,0.0
510,0.5
512,0.0
513,0.0
514,0.0
516,0.3333333333333333
517,0.0
519,0.0
520,0.0
522,0.5
523,0.0
526,0.0
527,0.0
528,0.0
529,0.3333333333333333
530,0.0
531,0.0
534,0.0
535,0.0
536,0.5
537,0.0
539,0.0
540,1.0
541,0.0
542,0.0
545,0.0
547,0.0
548,0.2
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
556,0.0
557,0.0
558,0.0
559,0.0
562,1.0
564,0.0
565,0.0
566,0.0
567,0.0
569,0.0
570,1.0
571,0.0
572,0.0
574,0.0
575,0.5
576,0.0
577,0.5
580,0.0
581,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
591,0.0
592,1.0
593,1.0
594,1.0
595,0.0
596,0.0
598,0.0
599,1.0
602,0.0
603,0.0
604,0.0
605,0.0
606,1.0
607,0.0
608,1.0
609,0.0
610,0.0
611,0.0
613,0.0
615,0.0
616,0.0
617,0.0
618,1.0
619,1.0
621,1.0
622,1.0
623,0.0
624,0.0
625,0.0
627,0.0
632,0.0
633,0.5
636,0.5
637,0.0
638,0.0
639,0.5
642,0.0
644,0.0
645,0.0
648,0.0
650,0.0
654,1.0
657,0.5
659,0.0
660,0.0
661,0.0
663,0.0
664,0.0
665,0.0
671,0.0
674,0.0
675,0.0
676,0.0
677,0.5
680,1.0
683,0.0
685,0.0
686,0.0
689,0.0
690,0.0
691,0.0
692,0.0
695,0.0
696,0.0
697,1.0
698,0.3333333333333333
699,1.0
702,1.0
703,0.0
706,0.0
708,0.0
709,0.0
710,0.0
715,0.0
718,0.0
720,1.0
722,0.0
725,0.0
728,0.0
729,0.5
732,0.0
733,0.0
734,0.0
744,0.0
745,0.0
748,0.0
751,0.0
757,0.0
758,0.0
759,0.0
762,0.0
765,0.0
767,0.0
769,0.0
770,0.0
771,0.0
772,0.0
777,0.0
779,0.0
780,0.0
783,0.0
785,0.0
786,0.0
788,0.0
791,0.5
795,0.0
796,0.0
800,0.0
803,0.0
806,0.0
809,0.0
812,0.0
813,0.0
818,1.0
819,0.0
822,0.0
824,0.0
825,0.0
829,0.0
831,0.0
832,0.0
834,0.0
835,0.0
839,0.0
841,0.0
845,0.0
847,0.0
848,0.0
849,0.0
850,0.0
852,0.0
854,0.0
855,1.0
858,0.0
863,1.0
865,0.0
871,0.0
872,0.0
876,0.0
878,0.0
882,0.0
886,0.0
887,0.0
888,0.0
891,0.0
892,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
906,0.0
907,0.0
910,0.0
913,0.0
915,0.0
917,0.0
919,0.0
920,0.0
922,0.0
928,0.0
929,0.0
930,0.0
934,0.0
935,0.0
938,0.0
945,0.0
946,0.0
947,0.0
957,0.0
962,0.0
964,0.0
972,0.0
973,0.5
977,0.0
980,0.0
985,0.0
989,0.5
991,0.0
993,0.0
999,0.0
1009,1.0
1010,0.0
1011,0.0
1015,0.0
1016,0.0
1024,0.0
1028,0.0
1039,1.0
1040,0.0
1043,1.0
1044,0.0
1045,0.0
1047,0.0
1051,0.0
1052,0.0
1055,0.0
1058,0.0
1062,0.0
1064,0.0
1066,0.0
1067,0.0
1071,0.0
1073,0.0
1076,0.0
1086,0.0
1092,0.0
1095,0.0
1097,0.0
1103,0.0
1111,0.0
1121,0.0
1122,1.0
1130,0.0
1131,0.0
1135,0.0
1138,0.0
1144,0.0
1146,0.5
1153,0.0
1158,1.0
1159,1.0
1160,0.5
1161,1.0
1169,0.0
1170,0.0
1187,0.0
1194,0.0
1199,0.0
1201,0.0
1202,0.0
1204,0.0
1210,0.0
1222,0.0
1226,1.0
1233,0.0
1239,0.0
1240,0.0
1249,0.0
1251,0.0
1253,0.0
1263,0.0
1264,0.0
1272,1.0
1274,0.0
1275,0.0
1292,0.0
1293,0.0
1294,0.0
1301,0.0
1302,0.0
1303,0.0
1305,0.0
1322,0.0
1339,0.0
1341,0.0
1346,0.0
1356,0.0
1365,0.0
1376,0.0
1391,0.0
1398,0.0
1401,0.0
1412,0.0
1416,0.0
1427,0.0
1433,0.0
1467,0.0
1475,0.0
1476,0.0
1482,0.0
1485,0.0
1488,0.0
1489,0.0
1498,0.0
1516,0.0
1519,0.0
1520,0.0
1525,1.0
1531,0.0
1535,0.0
1544,0.0
1546,0.0
1549,0.0
1558,0.5
1569,0.0
1582,0.0
1583,0.0
1597,0.0
1619,0.0
1635,0.0
1654,0.0
1683,0.0
1688,0.0
1689,0.0
1694,0.0
1706,0.0
1762,1.0
1770,0.0
1810,0.0
1812,0.0
1814,0.0
1815,0.0
1832,0.0
1873,0.0
1876,0.0
1909,0.0
1926,0.0
1931,0.0
1959,0.0
1972,0.0
1974,1.0
1989,1.0
1992,0.0
2001,0.0
2024,0.0
2025,0.0
2030,0.0
2036,0.0
2039,0.0
2044,0.0
2050,0.0
2069,0.0
2089,0.0
2117,0.0
2181,0.0
2196,0.0
2205,0.0
2235,0.0
2237,0.0
2250,0.0
2255,0.0
2288,0.0
2307,0.0
2346,0.0
2351,1.0
2359,0.0
2369,0.0
2398,0.0
2504,0.0
2527,0.0
2551,0.0
2586,0.0
2675,0.0
2690,0.0
2755,0.0
2844,0.0
2892,0.0
2995,0.0
3048,0.0
3054,0.0
3064,0.0
3076,0.0
3125,0.0
3131,0.0
3163,0.0
3179,1.0
3232,0.0
3332,0.0
3432,0.0
3459,0.0
3464,0.0
3518,1.0
3626,0.0
3641,0.0
3701,0.0
3787,0.0
3943,0.0
4135,0.0
4312,0.0
4622,0.0
4651,0.0
4687,1.0
4789,1.0
4944,0.0
5093,0.0
5268,0.0
5298,0.0
5359,0.0
5451,0.0
5597,0.0
5740,0.0
5857,0.0
5869,0.0
5876,0.0
5884,0.0
6791,0.0
7315,0.0
7361,0.0
7432,0.0
7711,0.0
7783,0.0
8484,0.0
9001,0.0
14019,0.0
