sub_score,Percentage of positive
445,0.11864406779661017
446,0.2727272727272727
447,0.18518518518518517
448,0.18181818181818182
449,0.10344827586206896
450,0.045454545454545456
451,0.23076923076923078
452,0.16666666666666666
453,0.24
454,0.24
455,0.25
456,0.08823529411764706
457,0.125
458,0.2
459,0.0
460,0.03571428571428571
461,0.17647058823529413
462,0.10526315789473684
463,0.125
464,0.06896551724137931
465,0.23076923076923078
466,0.19540229885057472
467,0.10344827586206896
468,0.043478260869565216
469,0.17647058823529413
470,0.11764705882352941
471,0.15
472,0.12903225806451613
473,0.16666666666666666
474,0.12121212121212122
475,0.125
476,0.13636363636363635
477,0.037037037037037035
478,0.09523809523809523
479,0.25
480,0.12121212121212122
481,0.1875
482,0.037037037037037035
483,0.045454545454545456
484,0.1
485,0.038461538461538464
486,0.20833333333333334
487,0.10714285714285714
488,0.10714285714285714
489,0.13793103448275862
490,0.09090909090909091
491,0.1
492,0.15789473684210525
493,0.20689655172413793
494,0.08333333333333333
495,0.13636363636363635
496,0.15789473684210525
497,0.11764705882352941
498,0.0
499,0.15789473684210525
500,0.1
501,0.09375
502,0.125
503,0.25
504,0.0
505,0.029411764705882353
506,0.03571428571428571
507,0.07142857142857142
508,0.28
509,0.15384615384615385
510,0.07142857142857142
511,0.13636363636363635
512,0.16666666666666666
513,0.2631578947368421
514,0.2
515,0.09090909090909091
516,0.041666666666666664
517,0.047619047619047616
518,0.037037037037037035
519,0.42857142857142855
520,0.0625
521,0.12
522,0.25806451612903225
523,0.1111111111111111
524,0.07142857142857142
525,0.2
526,0.047619047619047616
527,0.1
528,0.10526315789473684
529,0.18823529411764706
530,0.14285714285714285
531,0.13043478260869565
532,0.14705882352941177
533,0.09090909090909091
534,0.0
535,0.13043478260869565
536,0.09090909090909091
537,0.10526315789473684
538,0.058823529411764705
539,0.07407407407407407
540,0.18309859154929578
541,0.1
542,0.1875
543,0.15384615384615385
544,0.21428571428571427
545,0.13333333333333333
546,0.0
547,0.1
548,0.0
549,0.2727272727272727
550,0.10714285714285714
551,0.07692307692307693
552,0.22727272727272727
553,0.0625
554,0.043478260869565216
555,0.0
556,0.05263157894736842
557,0.07407407407407407
558,0.10666666666666667
559,0.07142857142857142
560,0.12
561,0.15
562,0.2
563,0.23076923076923078
564,0.06666666666666667
565,0.0
566,0.14285714285714285
567,0.10526315789473684
568,0.25
569,0.08
570,0.07142857142857142
571,0.037037037037037035
572,0.2
573,0.05555555555555555
574,0.21875
575,0.18181818181818182
576,0.0
577,0.16666666666666666
578,0.2077922077922078
579,0.029411764705882353
580,0.2777777777777778
581,0.30434782608695654
582,0.0
583,0.15384615384615385
584,0.047619047619047616
585,0.1
586,0.1111111111111111
587,0.043478260869565216
588,0.0
589,0.1875
590,0.10526315789473684
591,0.0
592,0.10526315789473684
593,0.16666666666666666
594,0.08
595,0.11764705882352941
596,0.19444444444444445
597,0.07142857142857142
598,0.16666666666666666
599,0.23529411764705882
600,0.09090909090909091
601,0.14285714285714285
602,0.13043478260869565
603,0.125
604,0.14285714285714285
605,0.2
606,0.2
607,0.06666666666666667
608,0.0
609,0.11764705882352941
610,0.2413793103448276
611,0.19230769230769232
612,0.11475409836065574
613,0.13636363636363635
614,0.0
615,0.20588235294117646
616,0.034482758620689655
617,0.11764705882352941
618,0.0
619,0.1111111111111111
620,0.041666666666666664
621,0.0
622,0.15384615384615385
623,0.21052631578947367
624,0.25
625,0.06896551724137931
626,0.11764705882352941
627,0.1
628,0.12
629,0.05555555555555555
630,0.041666666666666664
631,0.07142857142857142
632,0.17647058823529413
633,0.07407407407407407
634,0.09523809523809523
635,0.14814814814814814
636,0.1
637,0.3333333333333333
638,0.2857142857142857
639,0.125
640,0.0
641,0.07692307692307693
642,0.21739130434782608
643,0.11764705882352941
644,0.21428571428571427
645,0.1875
646,0.23529411764705882
647,0.05263157894736842
648,0.15384615384615385
649,0.2
650,0.08
651,0.06666666666666667
652,0.08333333333333333
653,0.058823529411764705
654,0.05714285714285714
655,0.14814814814814814
656,0.2
657,0.04
658,0.0
659,0.05263157894736842
660,0.13333333333333333
661,0.045454545454545456
662,0.21212121212121213
663,0.05
664,0.16666666666666666
665,0.2222222222222222
666,0.17647058823529413
667,0.15555555555555556
668,0.14285714285714285
669,0.14285714285714285
670,0.14285714285714285
671,0.14285714285714285
672,0.1
673,0.06666666666666667
674,0.13333333333333333
675,0.09523809523809523
676,0.0
677,0.041666666666666664
678,0.14285714285714285
679,0.2
680,0.25
681,0.0
682,0.3
683,0.16666666666666666
684,0.21428571428571427
685,0.14666666666666667
686,0.0625
687,0.07692307692307693
688,0.1111111111111111
689,0.10526315789473684
690,0.0
691,0.0
692,0.0
693,0.21052631578947367
694,0.2777777777777778
695,0.16666666666666666
696,0.16666666666666666
697,0.07407407407407407
698,0.07692307692307693
699,0.17647058823529413
700,0.0
701,0.16666666666666666
702,0.14285714285714285
703,0.11764705882352941
704,0.10526315789473684
705,0.14285714285714285
706,0.11764705882352941
707,0.23076923076923078
708,0.08333333333333333
709,0.15384615384615385
710,0.13636363636363635
711,0.14285714285714285
712,0.175
713,0.2727272727272727
714,0.08333333333333333
715,0.125
716,0.09523809523809523
717,0.08695652173913043
718,0.21739130434782608
719,0.10526315789473684
720,0.08333333333333333
721,0.06666666666666667
722,0.06666666666666667
723,0.14285714285714285
724,0.08
725,0.2222222222222222
726,0.09090909090909091
727,0.07142857142857142
728,0.2222222222222222
729,0.0
730,0.25
731,0.10526315789473684
732,0.15789473684210525
733,0.07692307692307693
734,0.10526315789473684
735,0.2222222222222222
736,0.0
737,0.15
738,0.13043478260869565
739,0.2222222222222222
740,0.125
741,0.10344827586206896
742,0.2413793103448276
743,0.0
744,0.030303030303030304
745,0.07692307692307693
746,0.16666666666666666
747,0.1111111111111111
748,0.3
749,0.058823529411764705
750,0.045454545454545456
751,0.15384615384615385
752,0.0
753,0.14285714285714285
754,0.15384615384615385
755,0.125
756,0.08333333333333333
757,0.0
758,0.2727272727272727
759,0.13636363636363635
760,0.2222222222222222
761,0.11538461538461539
762,0.125
763,0.047619047619047616
764,0.09090909090909091
765,0.0
766,0.25
767,0.21428571428571427
768,0.05
769,0.16666666666666666
770,0.14285714285714285
771,0.07692307692307693
772,0.06666666666666667
773,0.0
774,0.0625
775,0.2
776,0.24
777,0.0
778,0.125
779,0.25
780,0.25
781,0.125
782,0.0
783,0.0
784,0.0
785,0.09090909090909091
786,0.3333333333333333
787,0.17391304347826086
788,0.0
789,0.0
790,0.1
791,0.0
792,0.08333333333333333
